Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
345,Kelly Olynyk,C,32,UTA,26,5,21.6,2.5,4.7,.537,0.7,1.8,.413,1.8,3.0,.610,.614,1.4,1.6,.878,1.5,4.1,5.7,4.3,0.8,0.3,1.8,2.7,7.2,olynyke01
346,Eugene Omoruyi,SF,26,WAS,15,0,5.7,1.7,2.8,.595,0.3,0.9,.385,1.3,1.9,.690,.655,0.9,1.1,.765,0.6,1.0,1.6,0.5,0.4,0.1,0.5,0.9,4.5,omorueu01
347,Cedi Osman,SF,28,SAS,26,1,19.3,3.2,6.8,.477,1.3,3.6,.372,1.9,3.2,.598,.577,0.8,1.1,.714,0.4,2.0,2.4,1.7,0.4,0.2,0.6,1.6,8.6,osmande01
348,Kelly Oubre Jr.,SF,28,PHI,16,6,25.4,5.0,10.3,.485,1.5,4.4,.343,3.5,5.9,.589,.558,1.8,2.5,.725,1.1,3.1,4.2,0.6,1.2,0.3,0.8,2.3,13.3,oubreke01
349,Chris Paul,PG,38,GSW,24,7,27.5,3.1,7.8,.396,1.1,3.6,.314,2.0,4.2,.465,.468,1.3,1.4,.909,0.3,3.4,3.8,7.6,1.3,0.0,1.3,1.8,8.5,paulch01
350,Cameron Payne,PG,29,MIL,27,2,16.5,2.3,5.1,.453,1.1,2.9,.390,1.2,2.2,.533,.562,0.6,0.6,.941,0.0,1.1,1.2,2.4,0.4,0.1,0.9,2.0,6.3,payneca01
351,Gary Payton II,SG,31,GSW,14,0,17.3,2.4,5.1,.479,0.6,2.0,.321,1.8,3.1,.581,.542,0.4,0.6,.667,1.1,2.1,3.1,0.9,1.2,0.3,0.6,1.9,5.9,paytoga02
352,Filip Petrušev,C,23,TOT,3,0,3.3,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.3,0.7,.500,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.0,petrufi01
352,Filip Petrušev,C,23,PHI,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,petrufi01
352,Filip Petrušev,C,23,SAC,2,0,3.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.5,1.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,petrufi01
353,Julian Phillips,SF,20,CHI,16,0,4.4,0.3,1.1,.294,0.0,0.5,.000,0.3,0.6,.556,.294,0.1,0.3,.250,0.1,0.5,0.6,0.4,0.1,0.0,0.1,0.6,0.7,phillju01
354,Jalen Pickett,SG,24,DEN,12,0,6.4,0.8,1.8,.476,0.5,1.3,.400,0.3,0.5,.667,.619,0.2,0.2,1.000,0.1,0.8,0.8,0.7,0.3,0.0,0.5,0.6,2.3,pickeja02
355,Mason Plumlee,C,33,LAC,6,0,17.0,2.0,3.2,.632,0.0,0.0,,2.0,3.2,.632,.632,1.0,2.3,.429,1.3,4.2,5.5,1.0,0.7,0.2,0.8,1.0,5.0,plumlma01
356,Brandin Podziemski,SG,20,GSW,21,4,21.5,3.2,7.1,.456,1.1,2.9,.400,2.1,4.2,.494,.537,0.7,1.1,.652,1.4,3.5,5.0,2.6,0.8,0.2,1.4,1.9,8.3,podzibr01
357,Jakob Poeltl,C,28,TOR,27,27,26.0,4.8,6.6,.725,0.0,0.0,,4.8,6.6,.725,.725,1.0,2.0,.509,2.8,5.3,8.1,2.3,0.7,1.1,1.6,2.7,10.6,poeltja01
358,Aleksej Pokusevski,PF,22,OKC,7,0,6.1,0.3,1.6,.182,0.1,1.1,.125,0.1,0.4,.333,.227,0.1,0.3,.500,0.3,0.9,1.1,0.7,0.0,0.1,0.4,0.7,0.9,pokusal01
359,Jordan Poole,SG,24,WAS,25,25,29.4,6.2,15.0,.416,2.1,6.4,.325,4.2,8.6,.484,.485,2.8,3.2,.864,0.4,2.1,2.5,3.5,1.0,0.3,2.8,3.2,17.4,poolejo01
360,Craig Porter Jr.,PG,23,CLE,17,2,14.6,2.7,5.3,.511,0.2,0.6,.364,2.5,4.6,.532,.533,1.2,1.6,.714,0.4,1.6,2.1,2.7,0.6,0.5,0.9,0.9,6.8,portecr01
361,Michael Porter Jr.,SF,25,DEN,29,29,31.2,6.3,13.4,.467,2.7,7.1,.385,3.6,6.4,.557,.568,1.0,1.4,.750,1.6,6.2,7.8,1.5,0.5,0.7,1.1,2.0,16.3,portemi01
362,Otto Porter Jr.,SF,30,TOR,11,1,11.8,0.9,2.4,.385,0.6,1.7,.368,0.3,0.6,.429,.519,0.1,0.1,1.000,0.5,1.6,2.2,0.3,0.4,0.4,0.2,1.1,2.5,porteot01
363,Bobby Portis,PF,28,MIL,27,0,23.9,5.2,10.2,.513,1.0,2.9,.364,4.2,7.3,.571,.564,1.3,1.6,.810,1.6,5.1,6.7,1.1,0.7,0.5,0.9,2.4,12.7,portibo01
364,Kristaps Porziņģis,C,28,BOS,20,20,30.2,6.4,12.1,.529,1.8,5.0,.350,4.7,7.1,.655,.601,4.6,5.5,.836,1.5,5.4,6.9,1.7,0.8,1.8,1.7,3.1,19.2,porzikr01
365,Micah Potter,PF,25,UTA,2,0,3.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,pottemi01
366,Dwight Powell,C,32,DAL,24,3,14.8,1.3,1.9,.711,0.0,0.0,1.000,1.3,1.8,.705,.722,1.6,2.0,.796,1.5,1.8,3.2,1.3,0.4,0.4,0.4,2.0,4.3,poweldw01
367,Norman Powell,SG,30,LAC,27,0,25.4,4.6,9.1,.506,1.9,4.2,.451,2.7,4.9,.553,.610,2.3,2.7,.875,0.1,2.0,2.2,1.1,0.6,0.4,1.0,1.9,13.4,powelno01
368,Joshua Primo,SG,21,LAC,1,0,5.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,primojo01
369,Taurean Prince,PF,29,LAL,26,26,30.6,3.6,8.3,.433,2.0,5.3,.377,1.6,3.0,.532,.553,0.6,0.8,.727,0.3,2.4,2.7,1.8,0.8,0.5,0.9,2.1,9.8,princta02
370,Payton Pritchard,PG,26,BOS,27,0,20.4,2.5,6.0,.417,1.6,4.0,.394,0.9,2.0,.463,.549,0.5,0.7,.722,0.9,2.3,3.1,2.9,0.4,0.1,0.6,1.2,7.1,pritcpa01
371,Olivier-Maxence Prosper,PF,21,DAL,17,0,8.4,0.7,2.1,.343,0.3,1.3,.227,0.4,0.8,.538,.414,0.5,0.8,.643,0.4,1.4,1.8,0.8,0.1,0.1,0.1,0.5,2.2,prospol01
372,Neemias Queta,C,24,BOS,7,0,15.0,2.1,4.4,.484,0.0,0.0,,2.1,4.4,.484,.484,0.6,0.7,.800,2.9,3.0,5.9,0.3,0.6,0.4,0.6,2.0,4.9,quetane01
373,Immanuel Quickley,SG,24,NYK,26,0,24.0,5.1,11.4,.444,2.1,5.4,.383,3.0,6.0,.500,.535,2.7,3.2,.855,0.2,2.7,2.8,2.7,0.6,0.1,1.0,1.5,15.0,quickim01
374,Lester Quinones,SG,23,GSW,2,0,4.5,1.0,3.0,.333,0.5,2.0,.250,0.5,1.0,.500,.417,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.5,quinole01
375,Julius Randle,PF,29,NYK,27,27,35.3,8.3,17.9,.464,1.5,5.2,.293,6.8,12.7,.534,.506,4.6,6.1,.752,2.1,7.4,9.5,5.2,0.6,0.2,3.2,2.7,22.7,randlju01
376,Duop Reath,C,27,POR,17,4,14.9,2.8,6.6,.420,1.4,4.1,.348,1.4,2.5,.535,.527,1.1,1.2,.905,1.1,1.7,2.8,1.2,0.6,0.3,0.6,1.8,8.1,reathdu01
377,Austin Reaves,SG,25,LAL,28,9,29.5,5.3,11.1,.476,1.7,4.7,.364,3.6,6.4,.559,.553,2.9,3.3,.871,0.9,3.7,4.6,4.9,0.9,0.1,2.4,1.4,15.2,reaveau01
378,Cam Reddish,SF,24,LAL,23,16,24.3,2.5,6.3,.403,0.9,2.9,.318,1.6,3.4,.474,.476,1.3,1.5,.853,0.6,2.2,2.8,1.3,1.5,0.3,0.7,1.8,7.2,reddica01
379,Paul Reed,C,24,PHI,27,1,13.7,2.2,3.8,.578,0.1,0.4,.364,2.0,3.4,.604,.598,0.5,0.6,.813,1.8,2.6,4.4,1.1,0.5,0.6,1.0,2.1,5.0,reedpa01
380,Naz Reid,C,24,MIN,26,0,22.4,5.0,10.1,.500,1.9,4.9,.386,3.2,5.2,.607,.594,1.4,1.5,.925,1.1,3.4,4.5,0.9,0.7,0.6,1.2,1.7,13.4,reidna01
381,Jared Rhoden,SG,24,DET,5,0,6.0,1.0,1.8,.556,0.2,0.8,.250,0.8,1.0,.800,.611,0.4,0.4,1.000,0.2,0.6,0.8,0.6,0.0,0.0,0.4,0.8,2.6,rhodeja01
382,Nick Richards,C,26,CHO,20,7,21.1,3.2,4.5,.708,0.0,0.0,,3.2,4.5,.708,.708,2.1,2.6,.824,2.2,4.4,6.6,0.6,0.4,1.2,1.0,2.7,8.4,richani01
383,Josh Richardson,SG,30,MIA,23,4,27.7,3.7,8.4,.443,1.5,4.5,.340,2.2,4.0,.560,.534,1.3,1.5,.912,0.5,2.2,2.7,3.0,0.6,0.3,1.0,1.7,10.3,richajo01
384,Duncan Robinson,SF,29,MIA,26,16,29.1,5.2,10.6,.487,3.1,7.0,.442,2.1,3.6,.574,.633,1.2,1.5,.816,0.3,2.5,2.8,3.2,0.5,0.1,1.3,2.3,14.6,robindu01
385,Jerome Robinson,SG,26,GSW,1,0,5.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,robinje01
386,Mitchell Robinson,C,25,NYK,21,21,29.2,2.8,4.7,.592,0.0,0.0,,2.8,4.7,.592,.592,0.7,1.8,.368,5.3,5.0,10.3,0.7,1.5,1.3,1.0,1.9,6.2,robinmi01
387,Orlando Robinson,C,23,MIA,13,7,16.2,2.4,4.5,.525,0.5,0.9,.583,1.8,3.6,.511,.585,0.8,1.1,.714,1.4,3.1,4.5,1.8,0.4,0.5,1.0,2.2,6.1,robinor01
388,Jeremiah Robinson-Earl,PF,23,NOP,11,1,10.1,1.5,2.8,.516,0.5,1.0,.545,0.9,1.8,.500,.613,0.5,0.5,1.000,0.9,1.5,2.5,0.5,0.2,0.0,0.5,0.8,4.0,robinje02
389,David Roddy,PF,22,MEM,26,8,23.8,3.2,7.8,.406,1.0,3.5,.289,2.2,4.3,.500,.470,0.8,1.1,.714,1.0,3.2,4.2,1.3,0.7,0.3,1.0,1.4,8.1,roddyda01
390,Ryan Rollins,PG,21,WAS,8,0,6.1,1.1,2.3,.500,0.1,0.3,.500,1.0,2.0,.500,.528,1.6,2.0,.813,0.3,1.0,1.3,1.3,1.0,0.3,0.9,0.8,4.0,rolliry01
391,Derrick Rose,PG,35,MEM,15,7,18.9,3.5,8.1,.438,0.7,2.1,.344,2.8,5.9,.472,.483,1.3,1.4,.905,0.5,1.5,2.0,3.5,0.5,0.1,1.4,1.2,9.1,rosede01
392,Terry Rozier,SG,29,CHO,17,17,35.6,8.6,18.6,.464,2.6,7.2,.358,6.1,11.4,.531,.533,3.3,3.8,.875,0.6,3.1,3.7,7.1,1.2,0.4,2.3,2.0,23.2,roziete01
393,Rayan Rupert,SG,19,POR,7,0,4.4,0.1,1.7,.083,0.1,0.9,.167,0.0,0.9,.000,.125,0.3,0.6,.500,0.1,0.0,0.1,0.3,0.3,0.0,0.3,0.1,0.7,ruperra01
394,D'Angelo Russell,PG,27,LAL,27,27,29.9,5.8,12.4,.467,2.0,5.3,.382,3.8,7.1,.531,.549,1.6,2.1,.768,0.3,2.8,3.1,6.2,0.8,0.4,1.8,2.1,15.3,russeda01
395,Matt Ryan,SF,26,NOP,13,1,22.9,2.9,6.4,.458,2.5,5.2,.471,0.5,1.2,.400,.651,1.0,1.1,.929,0.4,1.9,2.3,1.1,0.4,0.1,1.2,1.8,9.3,ryanma01
396,Domantas Sabonis,C,27,SAC,26,26,34.6,7.2,12.5,.574,0.5,1.3,.394,6.7,11.3,.594,.594,3.8,5.7,.662,3.5,8.8,12.2,7.2,0.9,0.7,3.0,3.2,18.7,sabondo01
397,Luka Šamanić,PF,24,UTA,12,0,6.8,1.5,3.4,.439,0.4,1.5,.278,1.1,1.9,.565,.500,0.2,0.2,1.000,0.3,1.8,2.1,0.3,0.1,0.2,0.5,0.8,3.6,samanlu01
398,Jermaine Samuels,SF,25,HOU,5,0,5.8,0.4,0.8,.500,0.0,0.4,.000,0.4,0.4,1.000,.500,0.4,0.4,1.000,0.2,1.2,1.4,0.4,0.0,0.2,0.0,0.6,1.2,samueje01
399,Gui Santos,PF,21,GSW,2,0,6.0,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,0.0,,1.0,1.0,2.0,0.5,0.0,0.0,1.0,1.0,2.0,santogu01
400,Dario Šarić,C,29,GSW,27,4,20.9,3.6,7.8,.467,1.7,4.1,.411,1.9,3.6,.531,.576,1.7,2.0,.833,1.6,4.2,5.9,2.1,0.6,0.2,1.3,2.5,10.6,saricda01
