,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
156,Eric Gordon,SG,35,PHO,23,732,25%,72%,4%,,,3.4,6.1,21,7,15,2,8,1,153,3,19,gordoer01
157,Devonte' Graham,PG,28,SAS,5,52,98%,3%,,,,0.5,12.5,2,0,3,0,3,0,38,1,0,grahade01
158,Jerami Grant,PF,29,POR,22,779,,,50%,45%,5%,-7.4,-1.9,20,23,27,7,55,8,134,15,28,grantje01
159,A.J. Green,SG,24,MIL,19,147,7%,76%,17%,,,11.2,6.1,0,0,7,0,0,2,31,0,0,greenaj01
160,Danny Green,SG,36,PHI,2,18,,50%,50%,,,-3.0,-14.1,0,0,1,0,0,0,2,0,0,greenda02
161,Draymond Green,PF,33,GSW,15,377,,,,84%,16%,-6.3,-9.5,22,5,18,8,11,14,208,2,5,greendr01
162,Jalen Green,SG,21,HOU,25,775,6%,92%,2%,,,-1.6,-13.7,20,24,20,5,48,1,188,12,30,greenja05
163,Jeff Green,PF,37,HOU,24,377,,,4%,69%,27%,6.1,4.1,2,2,16,11,33,2,41,8,6,greenje02
164,Josh Green,SG,23,DAL,18,454,,40%,57%,3%,,0.6,-0.3,11,5,19,1,6,12,108,1,14,greenjo02
165,AJ Griffin,SF,20,ATL,12,110,,7%,77%,15%,,-10.1,-11.4,1,2,3,0,1,0,11,0,2,griffaj01
166,Quentin Grimes,SG,23,NYK,25,541,,85%,15%,,,-1.3,-8.5,5,5,21,0,3,1,69,1,7,grimequ01
167,Mouhamed Gueye,PF,21,ATL,2,4,,,,100%,,-144.4,-145.2,0,0,1,0,0,0,0,0,0,gueyemo02
168,Rui Hachimura,PF,25,LAL,19,442,,,27%,68%,5%,2.1,3.9,4,4,14,5,17,3,57,3,10,hachiru01
169,Tyrese Haliburton,PG,23,IND,23,769,94%,6%,,,,2.7,4.0,46,7,16,2,44,5,653,16,27,halibty01
170,R.J. Hampton,PG,22,MIA,2,11,100%,,,,,50.0,49.5,1,0,1,0,0,0,0,0,1,hamptrj01
171,Tim Hardaway Jr.,SF,31,DAL,24,690,,11%,65%,24%,,-1.6,-5.1,10,8,14,1,26,23,89,8,9,hardati02
172,James Harden,SG,34,LAC,22,741,2%,64%,33%,2%,,8.0,3.1,30,12,20,7,44,3,394,7,14,hardeja01
173,Jaden Hardy,SG,21,DAL,23,303,8%,62%,29%,1%,,-5.1,-7.8,6,8,16,2,15,3,82,4,6,hardyja02
174,Ron Harper Jr.,PF,23,TOR,1,4,,,,100%,,-112.5,-110.8,0,0,1,0,0,0,2,0,0,harpero02
175,Gary Harris,SG,29,ORL,21,454,10%,89%,1%,,,7.0,6.4,5,2,15,0,3,3,85,0,2,harriga01
176,Joe Harris,SG,32,DET,11,132,,1%,47%,52%,,-12.3,-0.9,2,0,7,1,1,2,22,0,3,harrijo01
177,Tobias Harris,PF,31,PHI,27,910,,,35%,64%,1%,8.8,-7.1,15,14,26,8,49,2,180,12,31,harrito02
178,Shaquille Harrison,SG,30,MEM,3,6,66%,34%,,,,-91.7,-85.3,0,0,0,0,0,0,0,0,0,harrish01
179,Josh Hart,SF,28,NYK,27,748,,,58%,41%,,8.6,11.5,15,8,18,3,11,3,183,3,8,hartjo01
180,Isaiah Hartenstein,C,25,NYK,27,555,,,,,100%,8.7,8.9,13,3,33,8,22,1,84,5,7,harteis01
181,Sam Hauser,SF,26,BOS,27,620,,9%,56%,34%,1%,8.6,-1.4,6,5,22,2,2,2,72,0,7,hausesa01
182,Jordan Hawkins,SG,21,NOP,26,632,16%,67%,15%,1%,,-6.4,-16.7,9,8,28,1,14,4,94,1,11,hawkijo01
183,Jaxson Hayes,C,23,LAL,25,271,,,,2%,98%,-6.7,-7.7,5,0,30,9,9,2,18,4,4,hayesja02
184,Killian Hayes,PG,22,DET,25,660,78%,22%,,,,-9.7,3.6,15,7,17,3,15,5,261,6,11,hayeski01
185,Gordon Hayward,SF,33,CHO,23,743,,70%,29%,,,-8.3,6.5,19,17,16,5,41,1,249,11,11,haywago01
186,Scoot Henderson,PG,19,POR,17,447,100%,,,,,-6.0,1.0,27,15,26,7,18,8,187,5,15,hendesc01
187,Taylor Hendricks,PF,20,UTA,9,156,,,,,,3.7,12.4,3,0,5,2,3,0,11,1,4,hendrita01
188,Tyler Herro,SG,24,MIA,10,341,37%,62%,1%,,,-1.4,-3.2,14,9,7,1,13,1,114,2,20,herroty01
189,Buddy Hield,SF,31,IND,26,668,,33%,66%,1%,,1.9,1.3,22,13,31,1,5,0,161,1,9,hieldbu01
190,Haywood Highsmith,PF,27,MIA,18,390,,,64%,36%,1%,2.8,2.6,13,1,29,2,5,2,68,1,6,highsha01
191,Nate Hinton,SG,24,HOU,4,16,40%,61%,,,,12.1,8.9,0,0,1,0,0,0,0,0,1,hintona01
192,D'Moi Hodge,SG,25,LAL,7,41,100%,,,,,-41.1,-41.8,1,0,2,0,1,0,10,0,0,hodgedm01
193,Aaron Holiday,PG,27,HOU,23,420,100%,,,,,7.2,5.9,7,4,21,0,8,3,97,4,7,holidaa01
194,Jrue Holiday,PG,33,BOS,25,863,71%,29%,,,,10.6,3.9,33,14,18,1,15,12,294,3,11,holidjr01
