Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
456,Stanley Umude,SG,24,DET,15,0,155,4.6,10.2,.455,3.3,6.3,.519,1.4,3.9,.353,4.9,5.3,.913,0.7,5.8,6.5,1.9,0.9,1.2,2.3,5.6,17.4,umudest01
457,Jonas Valančiūnas,C,31,NOP,28,28,775,7.5,13.1,.574,1.0,2.6,.382,6.5,10.5,.621,3.3,4.2,.800,3.3,9.6,12.8,3.1,0.7,1.7,1.8,4.2,19.4,valanjo01
458,Jarred Vanderbilt,PF,24,LAL,7,0,99,1.1,4.7,.231,0.0,2.5,.000,1.1,2.2,.500,0.4,0.7,.500,2.5,6.5,9.1,2.2,0.7,0.7,0.7,4.4,2.5,vandeja01
459,Fred VanVleet,PG,29,HOU,24,24,924,5.4,13.6,.397,2.8,7.3,.388,2.6,6.3,.407,2.9,3.3,.881,0.3,3.8,4.1,8.5,1.1,0.5,1.6,1.8,16.6,vanvlfr01
460,Devin Vassell,SG,23,SAS,21,15,623,8.0,17.2,.466,3.2,8.6,.369,4.9,8.6,.564,2.8,3.6,.790,0.5,3.6,4.2,3.4,1.1,0.2,1.7,1.3,22.1,vassede01
461,Sasha Vezenkov,PF,28,SAC,23,0,322,5.7,13.1,.436,3.1,8.3,.378,2.6,4.8,.535,0.7,0.9,.750,2.0,5.4,7.4,1.3,1.3,0.7,0.9,2.8,15.2,vezenal01
462,Gabe Vincent,PG,27,LAL,5,0,127,3.4,9.1,.375,0.6,4.8,.118,2.8,4.3,.667,0.3,0.6,.500,0.6,0.9,1.4,4.3,1.7,0.0,0.6,3.4,7.7,vincega01
463,Nikola Vučević,C,33,CHI,29,29,994,7.3,16.3,.449,1.2,3.9,.294,6.2,12.4,.499,1.6,1.9,.865,3.0,8.0,11.0,3.6,0.9,0.8,1.8,2.8,17.4,vucevni01
464,Dean Wade,PF,27,CLE,21,14,441,2.8,6.8,.410,2.2,6.0,.365,0.6,0.7,.778,0.9,1.1,.786,2.2,5.3,7.5,1.6,1.6,0.5,0.8,4.0,8.7,wadede01
465,Franz Wagner,SF,22,ORL,26,26,865,7.9,17.6,.446,1.5,5.3,.283,6.4,12.4,.515,4.2,5.0,.840,1.2,5.0,6.2,4.2,1.2,0.4,1.8,2.3,21.4,wagnefr01
