Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
443,Tristan Thompson,PF,32,CLE,23,0,246,6.6,9.1,.717,0.0,0.0,,6.6,9.1,.717,1.8,5.0,.360,6.8,8.6,15.3,3.8,1.2,1.6,2.0,4.6,14.9,,133,112,thomptr01
444,JT Thor,PF,21,CHO,23,1,360,3.9,10.5,.372,1.6,5.5,.293,2.3,5.0,.459,0.4,0.9,.429,2.6,5.3,7.8,1.3,0.8,1.2,0.8,3.8,9.8,,102,124,thorjt01
445,Matisse Thybulle,SF,26,POR,26,12,603,4.7,10.2,.460,3.3,8.1,.410,1.4,2.1,.654,0.7,0.8,.800,0.9,3.4,4.3,2.2,3.5,1.7,1.5,2.3,13.4,,119,112,thybuma01
446,Xavier Tillman Sr.,C,25,MEM,14,6,289,6.5,16.7,.390,1.5,5.2,.290,5.0,11.6,.435,0.8,2.3,.357,3.2,7.9,11.1,3.9,3.3,1.7,2.2,4.2,15.4,,94,108,tillmxa01
447,Jacob Toppin,SF,23,NYK,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,24.8,0.0,0.0,0.0,,,92,toppija01
448,Obi Toppin,PF,25,IND,26,25,623,9.3,15.3,.609,2.3,6.2,.369,7.0,9.1,.772,2.3,2.9,.795,1.9,4.7,6.6,2.6,1.0,1.1,1.5,4.1,23.3,,134,124,toppiob01
449,Juan Toscano-Anderson,SF,30,SAC,3,0,10,4.8,14.4,.333,0.0,4.8,.000,4.8,9.6,.500,0.0,0.0,,4.8,9.6,14.4,9.6,0.0,0.0,4.8,14.4,9.6,,88,119,toscaju01
450,Karl-Anthony Towns,PF,28,MIN,26,26,865,11.8,22.7,.520,2.9,6.8,.425,8.9,16.0,.560,6.0,6.7,.899,2.5,11.6,14.1,4.3,1.3,1.0,4.2,4.9,32.5,,117,106,townska01
451,Gary Trent Jr.,SG,25,TOR,24,2,607,7.7,19.6,.393,3.7,10.4,.354,4.0,9.2,.439,1.8,2.8,.629,0.4,3.9,4.3,3.1,1.2,0.2,1.2,1.8,20.9,,104,119,trentga02
452,Oscar Tshiebwe,PF,24,IND,3,0,17,10.9,21.7,.500,0.0,0.0,,10.9,21.7,.500,8.1,10.9,.750,5.4,8.1,13.6,5.4,0.0,0.0,0.0,2.7,29.9,,135,125,tshieos01
