Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
65,Greg Brown III,PF,22,DAL,3,11,11.1,.595,.000,2.500,9.8,10.1,9.9,12.8,0.0,0.0,19.2,20.1,,0.0,0.0,0.0,-0.018,,-1.5,-1.8,-3.2,0.0,browngr01
66,Jaylen Brown,SF,27,BOS,26,884,17.2,.562,.348,.203,2.6,12.4,7.7,17.6,1.6,1.8,10.5,28.7,,0.7,1.2,1.9,.104,,0.2,0.2,0.4,0.5,brownja02
67,Kobe Brown,PF,24,LAC,17,164,5.4,.477,.650,.050,4.2,15.0,9.8,6.1,0.6,1.6,6.8,11.6,,0.0,0.2,0.2,.053,,-5.4,0.2,-5.2,-0.1,brownko01
68,Moses Brown,C,24,POR,5,35,18.2,.466,.000,.167,24.3,34.2,28.9,4.5,1.4,2.5,7.2,16.8,,0.0,0.1,0.1,.108,,-1.2,-4.3,-5.5,0.0,brownmo01
69,Troy Brown Jr.,SF,24,MIN,22,334,12.4,.629,.688,.215,4.6,14.0,9.7,10.3,0.9,0.5,12.1,15.1,,0.4,0.5,1.0,.138,,0.3,0.6,0.8,0.2,browntr01
70,Jalen Brunson,PG,27,NYK,27,958,20.7,.594,.348,.297,2.3,10.3,6.2,26.9,1.6,0.2,9.7,28.1,,2.6,0.8,3.4,.169,,4.5,-0.4,4.1,1.5,brunsja01
71,Thomas Bryant,C,26,MIA,18,223,15.4,.600,.042,.278,11.2,24.8,17.9,7.5,1.3,2.2,15.7,19.0,,0.2,0.3,0.5,.103,,-2.5,-0.7,-3.2,-0.1,bryanth01
72,Kobe Bufkin,SG,20,ATL,2,4,-9.9,.129,.333,.667,26.7,28.2,27.4,0.0,0.0,0.0,0.0,39.7,,0.0,0.0,0.0,-0.526,,-18.6,-13.2,-31.8,0.0,bufkiko01
73,Reggie Bullock,SF,32,HOU,11,93,5.5,.514,.850,.050,2.4,12.6,7.6,4.2,0.5,1.0,8.9,10.5,,0.0,0.1,0.1,.054,,-3.2,-0.6,-3.7,0.0,bullore01
74,Alec Burks,SG,32,DET,20,359,12.0,.509,.592,.357,3.0,10.7,6.8,11.4,1.1,0.9,4.2,22.2,,0.3,0.1,0.4,.048,,-0.7,-1.6,-2.4,0.0,burksal01
75,Jared Butler,SG,23,WAS,13,103,16.1,.629,.474,.342,0.0,9.5,4.7,29.3,3.1,0.8,18.6,21.9,,0.1,0.1,0.2,.079,,-1.3,0.1,-1.1,0.0,butleja02
76,Jimmy Butler,PF,34,MIA,23,783,21.0,.594,.159,.571,6.5,11.1,8.8,21.0,1.6,1.1,9.0,25.8,,2.1,0.7,2.8,.174,,3.1,-0.8,2.3,0.8,butleji01
77,Jamal Cain,PF,24,MIA,8,113,10.7,.547,.517,.379,5.0,7.3,6.1,1.2,2.6,1.7,5.6,14.0,,0.0,0.1,0.2,.075,,-2.6,0.5,-2.1,0.0,cainja01
78,Kentavious Caldwell-Pope,SG,30,DEN,27,880,10.6,.601,.441,.239,1.4,5.2,3.3,9.5,2.1,1.3,11.3,13.0,,0.8,0.9,1.7,.091,,-2.2,0.6,-1.5,0.1,caldwke01
79,Toumani Camara,PF,23,POR,26,658,9.4,.507,.465,.218,8.4,13.1,10.6,5.8,1.9,1.9,13.1,13.8,,0.0,0.7,0.7,.049,,-4.0,0.4,-3.6,-0.3,camarto01
80,Clint Capela,C,29,ATL,26,670,22.4,.607,.000,.305,20.5,24.9,22.6,6.2,1.3,5.8,7.7,16.7,,2.0,0.6,2.7,.191,,2.1,-0.8,1.3,0.6,capelca01
81,Jevon Carter,PG,28,CHI,29,414,8.1,.489,.648,.006,1.0,4.5,2.7,12.2,1.8,1.8,9.6,18.7,,-0.3,0.3,0.0,-0.003,,-3.4,-0.8,-4.3,-0.2,carteje01
82,Wendell Carter Jr.,C,24,ORL,6,170,9.3,.491,.367,.327,8.0,24.9,16.4,7.2,0.8,1.1,12.5,15.9,,-0.1,0.3,0.2,.058,,-3.7,-0.7,-4.4,-0.1,cartewe01
83,Alex Caruso,SG,29,CHI,23,533,16.7,.695,.549,.236,5.3,11.2,8.1,14.5,2.5,3.7,17.2,15.8,,0.9,0.6,1.5,.139,,1.5,2.1,3.6,0.7,carusal01
84,Colin Castleton,C,23,LAL,4,28,17.5,.676,.000,.250,12.1,14.8,13.5,15.4,0.0,0.0,0.0,13.7,,0.1,0.0,0.1,.234,,0.1,-1.7,-1.6,0.0,castlco01
85,Malcolm Cazalon,SG,22,DET,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.019,,-6.4,-3.1,-9.5,0.0,cazalma01
86,Julian Champagnie,SF,22,SAS,19,244,10.0,.545,.744,.128,2.6,10.0,6.2,8.5,1.3,4.4,12.5,17.8,,-0.1,0.2,0.0,.006,,-1.6,-0.7,-2.2,0.0,champju02
87,Max Christie,SG,20,LAL,22,362,5.7,.479,.462,.151,0.9,14.6,8.1,7.9,1.1,1.0,13.1,13.6,,-0.4,0.4,0.0,.004,,-5.6,-0.4,-6.0,-0.4,chrisma02
88,Sidy Cissoko,SF,19,SAS,1,4,-12.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.4,,0.0,0.0,0.0,-0.349,,-15.2,-5.7,-21.0,0.0,cissosi01
89,Jordan Clarkson,SG,31,UTA,19,586,11.6,.498,.365,.229,4.4,7.5,6.0,24.8,1.3,0.5,15.2,26.6,,-0.3,0.1,-0.2,-0.019,,-1.7,-3.3,-5.0,-0.4,clarkjo01
90,Nic Claxton,C,24,BRK,18,487,21.1,.658,.007,.271,12.3,23.3,17.8,7.4,0.7,8.1,9.0,15.4,,1.2,0.7,1.9,.191,,0.6,1.5,2.1,0.5,claxtni01
91,Noah Clowney,PF,19,BRK,1,3,4.1,,,,0.0,35.1,17.5,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.049,,-4.3,-1.4,-5.7,0.0,clownno01
92,Amir Coffey,SF,26,LAC,15,171,6.4,.549,.605,.289,2.7,10.6,6.8,6.6,0.6,0.0,12.3,12.3,,0.1,0.1,0.2,.053,,-4.0,-1.2,-5.2,-0.1,coffeam01
93,John Collins,PF,26,UTA,24,726,14.5,.582,.332,.239,9.0,20.8,14.8,4.2,1.0,2.9,11.1,19.1,,0.6,0.5,1.1,.075,,-0.8,-1.7,-2.4,-0.1,collijo01
94,Zach Collins,C,26,SAS,26,701,13.3,.577,.371,.258,7.8,16.6,12.1,18.5,1.1,2.0,18.1,21.4,,0.1,0.4,0.5,.036,,-1.8,-0.5,-2.3,-0.1,colliza01
95,Mike Conley,PG,36,MIN,26,765,15.3,.631,.621,.192,1.6,8.6,5.3,28.3,1.5,0.2,11.4,14.9,,1.9,1.2,3.0,.191,,1.6,1.3,2.9,0.9,conlemi01
96,Pat Connaughton,SF,31,MIL,21,464,9.0,.538,.663,.125,3.5,13.0,8.5,11.4,1.1,0.7,12.0,11.3,,0.3,0.3,0.6,.062,,-1.6,-0.2,-1.9,0.0,connapa01
97,Bilal Coulibaly,SF,19,WAS,25,673,11.0,.629,.461,.281,2.9,13.6,8.2,8.0,1.8,2.0,17.2,14.2,,0.1,0.3,0.4,.029,,-2.2,-0.7,-2.8,-0.1,coulibi01
98,Robert Covington,SF-PF,33,TOT,25,432,13.9,.593,.584,.270,7.6,14.8,11.3,5.7,3.7,3.4,9.1,10.7,,0.6,0.9,1.5,.165,,-0.4,3.1,2.7,0.5,covinro01
98,Robert Covington,PF,33,LAC,3,69,10.5,.455,.889,.222,3.3,9.3,6.4,12.0,4.3,2.6,0.0,6.2,,0.1,0.1,0.2,.137,,-2.5,4.2,1.7,0.1,covinro01
98,Robert Covington,SF,33,PHI,22,363,14.6,.608,.550,.275,8.4,15.8,12.2,4.5,3.6,3.6,10.0,11.6,,0.5,0.8,1.3,.170,,0.0,2.9,2.9,0.4,covinro01
99,Torrey Craig,SF,33,CHI,27,572,11.3,.553,.547,.165,9.2,16.3,12.6,6.7,1.5,1.8,9.7,12.6,,0.6,0.5,1.1,.093,,-2.1,-0.3,-2.4,-0.1,craigto01
100,Jae Crowder,PF,33,MIL,9,240,11.8,.698,.660,.255,1.9,13.5,8.0,7.6,1.4,1.0,7.1,9.9,,0.4,0.2,0.6,.124,,0.7,0.5,1.2,0.2,crowdja01
101,Cade Cunningham,PG,22,DET,27,935,14.3,.530,.300,.230,1.5,11.2,6.2,33.0,1.4,0.6,15.9,30.2,,-0.5,0.3,-0.2,-0.009,,-0.2,-2.4,-2.6,-0.1,cunnica01
102,Seth Curry,SG,33,DAL,21,251,11.7,.538,.566,.120,4.3,9.3,6.8,9.9,2.1,1.0,6.4,15.8,,0.2,0.2,0.4,.080,,-1.4,-0.4,-1.7,0.0,curryse01
103,Stephen Curry,PG,35,GSW,25,847,21.5,.652,.617,.333,1.7,13.2,7.4,22.2,1.0,0.8,13.4,30.8,,2.2,0.7,2.8,.161,,7.0,-0.7,6.3,1.8,curryst01
104,Dyson Daniels,PG,20,NOP,28,666,10.7,.475,.439,.175,4.7,14.9,9.8,15.8,2.9,1.5,14.0,13.6,,-0.1,1.0,0.9,.067,,-2.8,2.0,-0.8,0.2,daniedy01
105,Anthony Davis,C,30,LAL,26,919,25.6,.611,.049,.417,11.1,26.9,19.3,13.6,1.6,6.3,9.1,26.4,,2.2,1.9,4.1,.215,,3.2,1.8,4.9,1.6,davisan02
106,Johnny Davis,SG,21,WAS,14,128,9.9,.509,.075,.125,6.8,9.4,8.1,5.1,2.5,0.6,10.6,15.5,,0.0,0.0,0.0,.000,,-4.5,-1.4,-5.9,-0.1,davisjo06
107,Dexter Dennis,SG,24,DAL,2,7,3.8,.311,.500,.167,15.4,15.9,15.6,0.0,0.0,0.0,0.0,39.0,,0.0,0.0,0.0,-0.295,,-7.3,-8.8,-16.1,0.0,dennide01
