,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
402,Marcus Sasser,PG,23,DET,26,442,.488,18.0,,.531,.100,.138,.156,.138,.469,,.541,.750,.318,.680,.455,.427,,.348,.750,,.006,1,,.133,.600,,0,0,sassema01
403,Admiral Schofield,PF,26,ORL,8,28,.300,20.8,,.400,.100,.100,.000,.200,.600,,.500,1.000,.000,,.500,.167,,.500,1.000,,.200,1,,.000,,,0,0,schofad01
404,Dennis Schröder,PG,30,TOR,27,863,.425,15.1,,.614,.196,.166,.160,.093,.386,,.466,.569,.327,.453,.516,.359,,.411,.913,,.000,0,,.188,.333,,2,0,schrode01
405,Dereon Seabron,SG,23,NOP,5,52,.308,7.9,,.846,.385,.231,.231,.000,.154,,.273,.400,.000,.333,,.500,,.000,1.000,,.000,0,,.500,.000,,0,0,seabrde01
406,Alperen Şengün,C,21,HOU,25,799,.529,9.1,,.847,.299,.368,.127,.053,.153,,.572,.681,.489,.542,.600,.293,,.672,1.000,,.071,23,,.034,.000,,1,0,sengual01
407,Brice Sensabaugh,SF,20,UTA,1,2,.000,15.4,,1.000,.000,.000,.500,.500,.000,,.000,,,.000,.000,,,,,,.000,0,,,,,0,0,sensabr01
408,Collin Sexton,SG,25,UTA,28,640,.464,13.0,,.641,.227,.273,.092,.049,.359,,.528,.739,.422,.321,.533,.349,,.476,.947,,.020,6,,.248,.370,,0,0,sextoco01
409,Landry Shamet,SG,26,WAS,15,253,.475,17.8,,.406,.158,.149,.059,.040,.594,,.585,.688,.467,.667,.500,.400,,.625,.833,,.059,4,,.300,.556,,0,0,shamela01
410,Day'Ron Sharpe,C,22,BRK,27,428,.533,3.6,,.956,.622,.319,.015,.000,.044,,.558,.667,.372,.000,,.000,,.611,,,.170,21,,.167,.000,,0,0,sharpda01
411,Shaedon Sharpe,SG,20,POR,26,911,.410,15.1,,.587,.226,.179,.094,.088,.413,,.446,.573,.354,.353,.406,.360,,.432,.722,,.074,23,,.140,.429,,3,0,sharpsh01
412,Ben Sheppard,SG,22,IND,12,90,.441,17.4,,.382,.206,.088,.088,.000,.618,,.615,.857,.333,.333,,.333,,.375,1.000,,.029,1,,.190,.250,,0,0,sheppbe01
413,Pascal Siakam,PF,29,TOR,27,933,.507,10.5,,.766,.306,.297,.114,.049,.234,,.582,.748,.512,.449,.286,.260,,.529,1.000,,.030,12,,.250,.360,,0,0,siakapa01
414,Ben Simmons,PG,27,BRK,6,191,.528,3.0,,1.000,.611,.361,.028,.000,.000,,.528,.682,.308,.000,,,,.526,,,.167,6,,,,,0,0,simmobe01
415,Anfernee Simons,SG,24,POR,8,269,.443,16.3,,.582,.165,.177,.108,.133,.418,,.511,.692,.464,.529,.333,.348,,.213,.565,,.025,3,,.061,.250,,0,0,simonan01
416,Jericho Sims,C,25,NYK,14,103,.667,2.6,,1.000,.800,.200,.000,.000,.000,,.667,.833,.000,,,,,.800,,,.600,7,,,,,0,0,simsje01
417,Jalen Slawson,SF,24,SAC,5,19,.667,9.8,,.667,.667,.000,.000,.000,.333,,1.000,1.000,,,,.000,,1.000,,,.000,0,,.000,,,0,0,slawsja01
418,Marcus Smart,PG,29,MEM,11,329,.429,17.6,,.487,.118,.176,.134,.059,.513,,.569,.643,.571,.563,.429,.295,,.182,.889,,.000,0,,.115,.286,,0,0,smartma01
419,Dennis Smith Jr.,PG,26,BRK,13,229,.425,11.5,,.725,.288,.275,.038,.125,.275,,.466,.739,.273,.000,.400,.318,,.444,.857,,.063,4,,.227,.800,,0,0,smithde03
420,Dru Smith,SG,26,MIA,9,131,.455,15.4,,.485,.273,.121,.061,.030,.515,,.500,.667,.500,.000,.000,.412,,.500,.857,,.000,0,,.235,.750,,0,0,smithdr01
421,Ish Smith,PG,35,CHO,20,323,.530,10.4,,.939,.242,.258,.288,.152,.061,,.532,.688,.706,.263,.500,.500,,.364,1.000,,.000,0,,.250,1.000,,0,0,smithis01
422,Jabari Smith Jr.,PF,20,HOU,25,759,.480,15.5,,.566,.238,.109,.152,.066,.434,,.566,.672,.500,.513,.412,.369,,.659,.951,,.082,19,,.153,.471,,1,0,smithja05
423,Jalen Smith,C,23,IND,15,224,.722,9.8,,.709,.519,.139,.013,.038,.291,,.732,.829,.545,1.000,.000,.696,,.707,1.000,,.203,14,,.043,1.000,,0,0,smithja04
424,Nick Smith Jr.,SG,19,CHO,11,109,.458,18.8,,.500,.083,.146,.104,.167,.500,,.500,.250,.714,.800,.250,.417,,.417,.700,,.000,0,,.167,.500,,0,0,smithni01
425,Jeremy Sochan,PG,20,SAS,26,757,.413,10.9,,.764,.299,.291,.098,.075,.236,,.438,.684,.270,.280,.316,.333,,.576,.950,,.094,22,,.317,.316,,2,0,sochaje01
426,Jaden Springer,SG,21,PHI,16,169,.379,11.2,,.707,.362,.207,.103,.034,.293,,.415,.667,.083,.333,.000,.294,,.529,.800,,.069,4,,.529,.333,,0,0,sprinja01
427,Lamar Stevens,PF,26,BOS,10,48,.500,10.9,,.667,.444,.111,.056,.056,.333,,.583,.625,.500,.000,1.000,.333,,.857,1.000,,.222,4,,.833,.200,,0,0,stevela01
428,Isaiah Stewart,PF,22,DET,25,758,.455,13.0,,.569,.330,.201,.019,.019,.431,,.521,.580,.452,.500,.250,.367,,.710,1.000,,.086,13,,.333,.367,,0,0,stewais01
429,Julian Strawther,SF,21,DEN,26,365,.390,19.0,,.363,.110,.144,.089,.021,.637,,.472,.563,.524,.308,.333,.344,,.520,.938,,.007,1,,.118,.364,,0,0,strawju01
430,Max Strus,SF,27,CLE,28,966,.411,18.2,,.342,.223,.089,.018,.012,.658,,.504,.573,.267,.833,.500,.362,,.655,.988,,.024,8,,.226,.380,,0,0,strusma01
431,Jalen Suggs,SG,22,ORL,24,624,.471,15.4,,.520,.242,.152,.076,.049,.480,,.560,.741,.382,.471,.364,.374,,.462,.900,,.040,6,,.280,.367,,0,0,suggsja01
432,Cole Swider,SF,24,MIA,3,29,.429,22.9,,.214,.071,.000,.071,.071,.786,,.667,1.000,,1.000,.000,.364,,.500,1.000,,.071,1,,.182,.500,,0,0,swideco01
433,Jae'Sean Tate,SF,28,HOU,23,410,.469,12.3,,.592,.327,.245,.010,.010,.408,,.552,.563,.583,.000,.000,.350,,.531,1.000,,.031,1,,.450,.389,,0,0,tateja01
434,Jayson Tatum,PF,25,BOS,26,957,.476,15.4,,.561,.248,.144,.089,.081,.439,,.579,.722,.493,.467,.415,.345,,.333,.532,,.073,35,,.063,.500,,0,0,tatumja01
435,Terry Taylor,PF,24,CHI,7,13,1.000,1.2,,1.000,1.000,.000,.000,.000,.000,,1.000,1.000,,,,,,.500,,,.000,0,,,,,0,0,taylote01
436,Garrett Temple,SG,37,TOR,6,19,.800,10.2,,.800,.400,.200,.000,.200,.200,,.750,1.000,1.000,,.000,1.000,,.333,1.000,,.200,1,,1.000,1.000,,0,0,templga01
437,Dalen Terry,SG,21,CHI,13,99,.368,15.8,,.421,.211,.211,.000,.000,.579,,.625,.500,.750,,,.182,,.600,1.000,,.105,1,,.364,.250,,0,0,terryda01
438,Daniel Theis,C,31,TOT,17,283,.459,8.7,,.816,.398,.276,.122,.020,.184,,.463,.615,.333,.333,.000,.444,,.838,1.000,,.112,11,,.333,.167,,0,0,theisda01
438,Daniel Theis,C,31,IND,1,8,.250,9.4,,.750,.250,.500,.000,.000,.250,,.333,1.000,.000,,,.000,,1.000,,,.250,1,,.000,,,0,0,theisda01
438,Daniel Theis,C,31,LAC,16,275,.468,8.6,,.819,.404,.266,.128,.021,.181,,.468,.605,.360,.333,.000,.471,,.833,1.000,,.106,10,,.353,.167,,0,0,theisda01
439,Cam Thomas,SG,22,BRK,18,570,.455,14.8,,.672,.127,.243,.184,.119,.328,,.487,.711,.442,.492,.333,.388,,.431,.689,,.003,1,,.190,.545,,1,0,thomaca02
440,Amen Thompson,SF,21,HOU,6,86,.423,18.4,,.538,.154,.154,.077,.154,.462,,.643,1.000,.500,.000,.750,.167,,.556,1.000,,.154,4,,.083,.000,,1,0,thompam01
441,Ausar Thompson,SF,21,DET,27,728,.463,9.2,,.783,.398,.287,.045,.053,.217,,.550,.598,.557,.455,.231,.151,,.686,.875,,.180,37,,.509,.111,,1,0,thompau01
442,Klay Thompson,SF,33,GSW,26,794,.419,20.4,,.399,.030,.118,.118,.132,.601,,.483,.727,.442,.419,.521,.376,,.700,.939,,.000,0,,.128,.357,,1,0,thompkl01
443,Tristan Thompson,PF,32,CLE,23,246,.717,2.1,,1.000,.717,.261,.022,.000,.000,,.717,.818,.500,.000,,,,.545,,,.304,13,,,,,0,0,thomptr01
444,JT Thor,PF,21,CHO,23,360,.372,15.4,,.474,.269,.090,.077,.038,.526,,.459,.619,.000,.333,.667,.293,,.706,1.000,,.064,4,,.610,.280,,0,0,thorjt01
445,Matisse Thybulle,SF,26,POR,26,603,.460,20.7,,.206,.095,.103,.000,.008,.794,,.654,.750,.615,,.000,.410,,.412,1.000,,.048,6,,.420,.476,,1,0,thybuma01
446,Xavier Tillman Sr.,C,25,MEM,14,289,.390,10.5,,.690,.330,.310,.050,.000,.310,,.435,.515,.355,.400,,.290,,.733,1.000,,.050,4,,.645,.200,,0,0,tillmxa01
447,Jacob Toppin,SF,23,NYK,1,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,toppija01
448,Obi Toppin,PF,25,IND,26,623,.609,11.9,,.594,.415,.169,.010,.000,.406,,.772,.884,.543,.000,,.369,,.811,1.000,,.217,40,,.393,.303,,1,0,toppiob01
449,Juan Toscano-Anderson,SF,30,SAC,3,10,.333,8.4,,.667,.667,.000,.000,.000,.333,,.500,.500,,,,.000,,1.000,,,.000,0,,1.000,.000,,0,0,toscaju01
450,Karl-Anthony Towns,PF,28,MIN,26,865,.520,12.1,,.703,.270,.285,.087,.062,.297,,.560,.688,.487,.457,.480,.425,,.616,1.000,,.045,16,,.042,.400,,1,0,townska01
451,Gary Trent Jr.,SG,25,TOR,24,607,.393,18.2,,.467,.111,.115,.143,.098,.533,,.439,.593,.321,.371,.500,.354,,.620,.913,,.012,2,,.162,.333,,0,0,trentga02
452,Oscar Tshiebwe,PF,24,IND,3,17,.500,4.7,,1.000,.500,.375,.000,.125,.000,,.500,.750,.333,,.000,,,.500,,,.125,1,,,,,0,0,tshieos01
453,P.J. Tucker,PF,38,TOT,15,239,.316,19.9,,.158,.158,.000,.000,.000,.842,,.333,.333,,,,.313,,1.000,1.000,,.000,0,,1.000,.313,,0,0,tuckepj01
453,P.J. Tucker,PF,38,PHI,3,66,.400,23.5,,.000,.000,.000,.000,.000,1.000,,,,,,,.400,,,1.000,,.000,0,,1.000,.400,,0,0,tuckepj01
453,P.J. Tucker,PF,38,LAC,12,173,.286,18.6,,.214,.214,.000,.000,.000,.786,,.333,.333,,,,.273,,1.000,1.000,,.000,0,,1.000,.273,,0,0,tuckepj01
454,Myles Turner,C,27,IND,25,678,.503,12.3,,.656,.272,.288,.063,.033,.344,,.596,.707,.506,.421,.800,.327,,.686,1.000,,.083,23,,.144,.333,,0,0,turnemy01
455,Hunter Tyson,PF,23,DEN,8,20,.250,19.2,,.250,.250,.000,.000,.000,.750,,1.000,1.000,,,,.000,,1.000,,,.250,1,,.000,,,0,0,tysonhu01
456,Stanley Umude,SG,24,DET,15,155,.455,18.2,,.386,.068,.250,.045,.023,.614,,.353,.667,.364,.000,.000,.519,,.833,1.000,,.000,0,,.444,.500,,0,0,umudest01
457,Jonas Valančiūnas,C,31,NOP,28,775,.574,9.4,,.805,.340,.287,.135,.043,.195,,.621,.771,.543,.474,.417,.382,,.624,1.000,,.106,26,,.218,.250,,0,0,valanjo01
458,Jarred Vanderbilt,PF,24,LAL,7,99,.231,13.5,,.462,.385,.077,.000,.000,.538,,.500,.600,.000,,,.000,,.667,,,.154,2,,1.000,.000,,0,0,vandeja01
459,Fred VanVleet,PG,29,HOU,24,924,.397,19.0,,.463,.114,.140,.089,.120,.537,,.407,.450,.306,.355,.524,.388,,.212,.534,,.000,0,,.085,.500,,2,0,vanvlfr01
460,Devin Vassell,SG,23,SAS,21,623,.466,18.0,,.500,.131,.101,.121,.148,.500,,.564,.795,.433,.556,.455,.369,,.595,.782,,.040,12,,.134,.500,,0,0,vassede01
461,Sasha Vezenkov,PF,28,SAC,23,322,.436,17.8,,.368,.188,.145,.026,.009,.632,,.535,.773,.353,.000,.000,.378,,.783,.964,,.009,1,,.284,.381,,1,0,vezenal01
462,Gabe Vincent,PG,27,LAL,5,127,.375,18.5,,.469,.125,.125,.031,.188,.531,,.667,.750,.750,1.000,.500,.118,,.500,.500,,.000,0,,.235,.000,,0,0,vincega01
463,Nikola Vučević,C,33,CHI,29,994,.449,11.3,,.758,.251,.311,.118,.078,.242,,.499,.628,.486,.377,.314,.294,,.712,1.000,,.040,16,,.055,.333,,0,0,vucevni01
464,Dean Wade,PF,27,CLE,21,441,.410,23.2,,.108,.048,.012,.024,.024,.892,,.778,1.000,.000,1.000,.500,.365,,.429,.963,,.024,2,,.378,.393,,0,0,wadede01
465,Franz Wagner,SF,22,ORL,26,865,.446,11.5,,.700,.285,.337,.054,.024,.300,,.515,.636,.434,.435,.400,.283,,.490,.833,,.059,24,,.110,.214,,3,0,wagnefr01
466,Moritz Wagner,C,26,ORL,26,488,.615,7.6,,.786,.526,.245,.005,.010,.214,,.689,.802,.447,1.000,.500,.341,,.808,1.000,,.057,11,,.317,.385,,0,0,wagnemo01
467,Ish Wainright,SF,29,POR,2,5,.000,22.4,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,1.000,.000,,0,0,wainris01
468,Jabari Walker,SF,21,POR,26,457,.464,11.2,,.680,.359,.242,.065,.013,.320,,.558,.709,.405,.300,.500,.265,,.569,1.000,,.059,6,,.449,.318,,1,0,walkeja01
469,Jarace Walker,PF,20,IND,8,84,.429,16.6,,.607,.107,.179,.107,.214,.393,,.529,.667,.200,1.000,.500,.273,,.556,1.000,,.000,0,,.455,.400,,0,0,walkeja02
470,Lonnie Walker IV,SG,25,BRK,17,362,.489,17.4,,.472,.161,.133,.067,.111,.528,,.518,.690,.417,.583,.350,.463,,.477,.727,,.022,3,,.263,.600,,0,0,walkelo01
471,Cason Wallace,SG,20,OKC,25,545,.579,14.0,,.554,.264,.165,.066,.058,.446,,.642,.781,.600,.375,.429,.500,,.698,1.000,,.058,5,,.611,.667,,0,0,wallaca01
472,P.J. Washington,PF,25,CHO,23,691,.424,15.7,,.491,.188,.255,.026,.022,.509,,.526,.725,.406,.429,.333,.326,,.743,.911,,.044,11,,.232,.281,,1,0,washipj01
473,TyTy Washington Jr.,PG,22,MIL,2,6,.333,21.1,,.333,.000,.000,.000,.333,.667,,.000,,,,.000,.500,,,1.000,,.000,0,,.500,1.000,,0,0,washity02
474,Yuta Watanabe,SF,29,PHO,19,328,.350,21.8,,.175,.063,.063,.025,.025,.825,,.357,.600,.200,.500,.000,.348,,.600,1.000,,.013,1,,.424,.357,,0,0,watanyu01
475,Lindy Waters III,SG,26,OKC,9,70,.409,24.4,,.045,.045,.000,.000,.000,.955,,1.000,1.000,,,,.381,,1.000,1.000,,.045,1,,.238,.800,,0,0,waterli01
476,Trendon Watford,PF,23,BRK,20,280,.525,9.2,,.812,.277,.455,.050,.030,.188,,.573,.714,.500,.600,.333,.316,,.489,1.000,,.030,3,,.316,.333,,0,0,watfotr01
477,Peyton Watson,SF,21,DEN,27,452,.516,9.6,,.730,.426,.230,.057,.016,.270,,.584,.692,.464,.429,.000,.333,,.827,1.000,,.164,19,,.485,.313,,0,0,watsope01
478,Victor Wembanyama,PF,20,SAS,24,732,.436,13.5,,.690,.254,.192,.123,.121,.310,,.506,.727,.467,.333,.277,.281,,.713,.794,,.138,48,,.050,.167,,1,0,wembavi01
479,Blake Wesley,SG,20,SAS,6,26,.375,10.7,,.875,.375,.125,.250,.125,.125,,.429,.333,1.000,.500,.000,.000,,.333,,,.000,0,,.000,,,0,0,weslebl01
480,Russell Westbrook,PG,35,LAC,27,650,.459,9.9,,.763,.346,.289,.083,.045,.237,,.517,.674,.390,.409,.333,.270,,.438,.941,,.064,13,,.508,.313,,0,0,westbru01
481,Coby White,PG,23,CHI,29,1005,.449,17.0,,.455,.227,.114,.061,.053,.545,,.478,.611,.267,.625,.190,.426,,.279,.837,,.008,3,,.153,.545,,2,0,whiteco01
482,Derrick White,SG,29,BOS,24,782,.492,17.8,,.414,.135,.177,.071,.030,.586,,.582,.778,.489,.526,.375,.429,,.359,.746,,.011,3,,.205,.563,,0,0,whitede01
483,Cam Whitmore,SF,19,HOU,5,32,.467,11.5,,.667,.267,.333,.067,.000,.333,,.600,.500,.800,.000,,.200,,.167,1.000,,.000,0,,.000,,,0,0,whitmca01
484,Aaron Wiggins,SG,25,OKC,23,272,.603,10.5,,.685,.438,.178,.041,.027,.315,,.660,.688,.692,.667,.000,.478,,.636,.909,,.041,2,,.478,.364,,0,0,wiggiaa01
485,Andrew Wiggins,SF,28,GSW,25,664,.420,12.8,,.715,.206,.281,.103,.125,.285,,.468,.569,.506,.207,.429,.300,,.681,.917,,.043,12,,.113,.444,,0,0,wiggian01
486,Lindell Wigginton,PG,25,MIL,3,8,.400,11.7,,.600,.400,.200,.000,.000,.400,,.667,1.000,.000,,,.000,,.000,,,.000,0,,.000,,,0,0,wiggili01
487,Grant Williams,PF,25,DAL,24,708,.425,19.1,,.306,.129,.097,.054,.027,.694,,.491,.750,.278,.300,.400,.395,,.714,.980,,.016,1,,.465,.367,,0,0,willigr01
488,Jalen Williams,PF,22,OKC,22,708,.495,10.5,,.784,.317,.268,.125,.073,.216,,.533,.736,.364,.472,.381,.355,,.367,.818,,.098,22,,.210,.538,,0,0,willija06
489,Jaylin Williams,C,21,OKC,20,262,.392,18.2,,.378,.149,.135,.054,.041,.622,,.429,.364,.500,.250,.667,.370,,.667,1.000,,.014,0,,.217,.400,,0,0,willija07
490,Jeenathan Williams,SG,24,HOU,4,22,.545,6.9,,.818,.455,.364,.000,.000,.182,,.667,1.000,.250,,,.000,,.500,,,.091,1,,1.000,.000,,0,0,willije02
491,Kenrich Williams,PF,29,OKC,15,219,.492,14.5,,.525,.271,.186,.017,.051,.475,,.548,.875,.273,.000,.000,.429,,.706,.917,,.051,2,,.250,.429,,0,0,willike04
492,Mark Williams,C,22,CHO,19,508,.649,2.6,,1.000,.742,.245,.013,.000,.000,,.649,.741,.378,.500,,,,.633,,,.331,47,,,,,0,0,willima07
493,Patrick Williams,PF,22,CHI,29,788,.442,14.6,,.592,.262,.129,.116,.086,.408,,.464,.574,.267,.481,.400,.411,,.500,.949,,.116,21,,.274,.385,,0,0,willipa01
494,Robert Williams,C,26,POR,6,119,.654,5.8,,1.000,.500,.269,.038,.192,.000,,.654,.769,.429,1.000,.600,,,.529,,,.269,5,,,,,0,0,williro04
495,Vince Williams Jr.,SG,23,MEM,18,335,.437,20.0,,.211,.127,.056,.028,.000,.789,,.600,.667,.500,.500,,.393,,.444,1.000,,.000,0,,.446,.320,,0,0,willivi01
496,Ziaire Williams,SF,22,MEM,24,480,.389,16.2,,.497,.186,.144,.102,.066,.503,,.470,.774,.250,.294,.364,.310,,.718,.962,,.102,16,,.333,.393,,0,0,willizi02
497,Zion Williamson,PF,23,NOP,23,701,.578,4.1,,.980,.563,.379,.034,.003,.020,,.584,.724,.402,.333,.000,.286,,.477,1.000,,.112,34,,.000,,,0,0,willizi01
498,Jalen Wilson,PF,23,BRK,7,52,.667,10.9,,.667,.333,.333,.000,.000,.333,,.667,1.000,.333,,,.667,,.500,1.000,,.000,0,,.000,,,0,0,wilsoja03
499,Dylan Windler,SF,27,NYK,3,7,.500,25.2,,.000,.000,.000,.000,.000,1.000,,,,,,,.500,,,1.000,,.000,0,,.500,.000,,0,0,windldy01
500,James Wiseman,C,22,DET,17,242,.716,4.4,,.986,.514,.351,.068,.054,.014,,.726,.895,.538,.600,.500,.000,,.774,,,.311,23,,.000,,,0,0,wisemja01
501,Christian Wood,PF,28,LAL,25,486,.463,14.2,,.551,.279,.199,.037,.037,.449,,.613,.842,.407,.600,.000,.279,,.739,1.000,,.110,13,,.262,.375,,0,0,woodch01
502,Delon Wright,PG,31,WAS,8,141,.367,13.0,,.633,.233,.300,.033,.067,.367,,.368,.571,.222,1.000,.000,.364,,.286,1.000,,.000,0,,.182,.500,,0,0,wrighde01
503,Thaddeus Young,PF,35,TOR,4,13,.500,8.2,,1.000,.250,.250,.500,.000,.000,,.500,.000,.000,1.000,,,,.500,,,.000,0,,,,,0,0,youngth01
504,Trae Young,PG,25,ATL,25,900,.434,17.3,,.554,.135,.186,.160,.073,.446,,.471,.574,.404,.457,.486,.387,,.242,.264,,.002,0,,.031,.571,,2,0,youngtr01
505,Omer Yurtseven,C,25,UTA,18,227,.515,7.6,,.809,.441,.309,.044,.015,.191,,.582,.767,.381,.333,.000,.231,,.656,1.000,,.206,12,,.538,.286,,0,0,yurtsom01
506,Cody Zeller,C,31,NOP,22,221,.333,3.6,,.974,.667,.282,.000,.026,.026,,.342,.423,.182,,.000,.000,,.692,,,.103,4,,.000,,,0,0,zelleco01
507,Ivica Zubac,C,26,LAC,27,724,.627,3.4,,1.000,.516,.471,.013,.000,.000,,.627,.664,.585,.667,,,,.745,,,.244,50,,,,,0,0,zubaciv01
